date,weekday,weekday_name,is_holiday,holiday_name,avg_temp_c,min_temp_c,max_temp_c,요일_월,요일_화,요일_수,요일_목,요일_금,요일_토,요일_일,주말여부,휴일여부,평일여부,봄,여름,가을,겨울,월,일
2025-01-20,0,월,0,,2.8,-1.4,8.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,20
2025-01-21,1,화,0,,2.5,-2.8,9.4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,21
2025-01-22,2,수,0,,3.4,-1.9,9.4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,22
2025-01-23,3,목,0,,2.9,-2.4,10.7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,23
2025-01-24,4,금,0,,2.6,-4.1,10.4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,24
2025-01-25,5,토,1,토요일,4.3,-2.7,11.6,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,25
2025-01-26,6,일,1,일요일,5.2,1.7,8.7,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,26
2025-01-27,0,월,1,임시공휴일,0.3,-2.4,3.8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,27
2025-01-28,1,화,1,설날 전날,-1.4,-2.7,1.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,28
2025-01-29,2,수,1,설날,-2.6,-5.5,0.6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,29
2025-01-30,3,목,1,설날 다음 날,-1.8,-6.5,3.9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,30
2025-01-31,4,금,0,,1.9,-3.0,8.4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,31
2025-02-01,5,토,1,토요일,3.5,1.2,7.8,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,1
2025-02-02,6,일,1,일요일,2.4,-1.3,9.1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2
2025-02-03,0,월,0,,-1.4,-6.0,1.9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3
2025-02-04,1,화,0,,-6.2,-8.2,-2.3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,4
2025-02-05,2,수,0,,-6.4,-10.6,-1.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,5
2025-02-06,3,목,0,,-4.1,-10.2,2.2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,6
2025-02-07,4,금,0,,-6.4,-9.8,-0.5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,7
2025-02-08,5,토,1,토요일,-6.6,-11.3,-1.0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,8
