month,weekday,weekday_name,station,hour,direction,traffic,area,density,area_per_person,los_grade,latitude,longitude,order,los_priority
1,2,수,갈마역,5,승차,58.0,1991.4999999999998,0,412.03448275862064,A,36.35767777,127.372971,13,1
1,2,수,갈마역,6,승차,82.6,1991.4999999999998,0,289.32203389830505,A,36.35767777,127.372971,13,1
1,2,수,갈마역,7,승차,182.4,1991.4999999999998,0,131.01973684210526,A,36.35767777,127.372971,13,1
1,2,수,갈마역,8,승차,340.0,1991.4999999999998,0,70.28823529411764,A,36.35767777,127.372971,13,1
1,2,수,갈마역,9,승차,173.0,1991.4999999999998,0,138.1387283236994,A,36.35767777,127.372971,13,1
1,2,수,갈마역,10,승차,115.8,1991.4999999999998,0,206.37305699481865,A,36.35767777,127.372971,13,1
1,2,수,갈마역,11,승차,133.4,1991.4999999999998,0,179.1454272863568,A,36.35767777,127.372971,13,1
1,2,수,갈마역,12,승차,133.6,1991.4999999999998,0,178.877245508982,A,36.35767777,127.372971,13,1
1,2,수,갈마역,13,승차,136.4,1991.4999999999998,0,175.20527859237535,A,36.35767777,127.372971,13,1
1,2,수,갈마역,14,승차,124.6,1991.4999999999998,0,191.79775280898875,A,36.35767777,127.372971,13,1
1,2,수,갈마역,15,승차,127.0,1991.4999999999998,0,188.17322834645668,A,36.35767777,127.372971,13,1
1,2,수,갈마역,16,승차,139.4,1991.4999999999998,0,171.4347202295552,A,36.35767777,127.372971,13,1
1,2,수,갈마역,17,승차,154.8,1991.4999999999998,0,154.37984496124028,A,36.35767777,127.372971,13,1
1,2,수,갈마역,18,승차,162.6,1991.4999999999998,0,146.9741697416974,A,36.35767777,127.372971,13,1
1,2,수,갈마역,19,승차,94.4,1991.4999999999998,0,253.1567796610169,A,36.35767777,127.372971,13,1
1,2,수,갈마역,20,승차,76.8,1991.4999999999998,0,311.171875,A,36.35767777,127.372971,13,1
1,2,수,갈마역,21,승차,61.4,1991.4999999999998,0,389.21824104234526,A,36.35767777,127.372971,13,1
1,2,수,갈마역,22,승차,41.2,1991.4999999999998,0,580.0485436893202,A,36.35767777,127.372971,13,1
1,2,수,갈마역,23,승차,22.2,1991.4999999999998,0,1076.4864864864865,A,36.35767777,127.372971,13,1
1,2,수,갈마역,0,승차,1.0,1991.4999999999998,0,23898.0,A,36.35767777,127.372971,13,1
1,2,수,갈마역,1,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,2,수,갈마역,2,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,0,월,갈마역,3,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,0,월,갈마역,4,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,0,월,갈마역,5,승차,69.0,1991.4999999999998,0,346.3478260869565,A,36.35767777,127.372971,13,1
1,0,월,갈마역,6,승차,96.75,1991.4999999999998,0,247.00775193798447,A,36.35767777,127.372971,13,1
1,0,월,갈마역,7,승차,199.0,1991.4999999999998,0,120.09045226130652,A,36.35767777,127.372971,13,1
1,0,월,갈마역,8,승차,391.0,1991.4999999999998,0,61.12020460358057,A,36.35767777,127.372971,13,1
1,0,월,갈마역,9,승차,201.5,1991.4999999999998,0,118.60049627791564,A,36.35767777,127.372971,13,1
1,0,월,갈마역,10,승차,143.75,1991.4999999999998,0,166.24695652173912,A,36.35767777,127.372971,13,1
1,0,월,갈마역,11,승차,159.25,1991.4999999999998,0,150.06593406593407,A,36.35767777,127.372971,13,1
1,0,월,갈마역,12,승차,151.0,1991.4999999999998,0,158.26490066225165,A,36.35767777,127.372971,13,1
1,0,월,갈마역,13,승차,170.75,1991.4999999999998,0,139.95900439238653,A,36.35767777,127.372971,13,1
1,0,월,갈마역,14,승차,149.5,1991.4999999999998,0,159.85284280936455,A,36.35767777,127.372971,13,1
1,0,월,갈마역,15,승차,153.25,1991.4999999999998,0,155.94127243066885,A,36.35767777,127.372971,13,1
1,0,월,갈마역,16,승차,180.5,1991.4999999999998,0,132.39889196675898,A,36.35767777,127.372971,13,1
1,0,월,갈마역,17,승차,183.5,1991.4999999999998,0,130.23433242506812,A,36.35767777,127.372971,13,1
